Compound Structure,pic50
COC1=C(C2=CC=NC3=C2N=C(C2=CC=C(CN4CCOCC4)C=C2)N3)C=CC(F)=C1,5.64
COC1=C(C2=CC=NC3=C2N=C(C2=CC=C(CN4CCOCC4)C=C2)N3)C=CC(C(=O)N2CCCC2)=C1,6
COC1=C(C2=CC=NC3=C2N=C(C2CCNCC2)N3)C=CC(F)=C1,5.33
COC1=C(C2=CC=NC3=C2C=C(C2=CC=C(CN4CCOCC4)C=C2)N3)C=CC(F)=C1,7.8
COC1=C(C2=CC=NC3=C2C=C(C2CCNCC2)N3)C=CC(F)=C1,8.22
COC1=C(C2=CC=NC3=C2C=C(C2CCNCC2)N3)C=CC(C(=O)N2CCCC2)=C1,8.4
"COC1=C(C2=CC=NC3=C2C=C([C@H]2CC[C@H](NC(C)=O)CC2)N3)C=CC(F)=C1 |a:12,15|",7
COC1=C(C2=CC=NC3=C2C=C(C2CCOCC2)N3)C=CC(F)=C1,6.4
COC1=C(C2=CC=NC3=C2C=C(C2CCOCC2)N3)C=CC(C(=O)N2CCCC2)=C1,7.24
COC1=CC(F)=CC=C1C1=CC=NC2=C1C=C(C1CCN(C(C)=O)CC1)N2,7.08
COC1=CC(C(=O)N2CCCC2)=CC=C1C1=CC=NC2=C1C=C(C1CCN(C(C)=O)CC1)N2,7.96
COC1=CC(F)=CC=C1C1=CC=NC2=C1C=C(C1CCN(C)CC1)N2,8
COC1=C(C2=CC=NC3=C2C=C(C2CCN(CCO)CC2)N3)C=CC(F)=C1,8.52
COC1=C(C2=CC=NC3=C2C=C(C2CCN(CCO)CC2)N3)C=CC(C(=O)N2CCCC2)=C1,8.4
COC1=CC(F)=CC=C1C1=CC=NC2=C1C=C(C1CCN(CC(=O)N(C)C)CC1)N2,8.22
CC1=NC2=C(C=C(C3=CC=NC4=C3C=C(C3CCN(CC(=O)N(C)C)CC3)N4)C=C2)N1C(C)C,8.52
CN(C)C(=O)CN1CCC(C2=CC3=C(N=CC=C3C3=CN(C)C(=O)C=C3)N2)CC1,6
COC1=CC(=O)N(C)C=C1C1=CC=NC2=C1C=C(C1CCN(CC(=O)N(C)C)CC1)N2,4.52
CCN1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N(C)C)CC2)N3)C=CC1=O,6.48
CC(C)N1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N(C)C)CC2)N3)C=CC1=O,8.52
CC(C)CN1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N(C)C)CC2)N3)C=CC1=O,6.59
COCCN1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N(C)C)CC2)N3)C=CC1=O,6.89
CSCCN1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N(C)C)CC2)N3)C=CC1=O,7.96
CN(C)C(=O)CN1CCC(C2=CC3=C(N=CC=C3C3=CN(C4CCOCC4)C(=O)C=C3)N2)CC1,5.92
CN(C)C(=O)CN1CCC(C2=CC3=C(N=CC=C3C3=CN(CC4CCOCC4)C(=O)C=C3)N2)CC1,5.4
CN(C)C(=O)CN1CCC(C2=CC3=C(N=CC=C3C3=CN(CCC4CCOCC4)C(=O)C=C3)N2)CC1,5.35
CN(C)C(=O)CN1CCC(C2=CC3=C(N=CC=C3C3=CN(C4CCC4)C(=O)C=C3)N2)CC1,7.15
CC(C)N1N=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N(C)C)CC2)N3)C=CC1=O,8.1
CC(C)N1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N(C)C)CC2)N3)C=NC1=O,8.4
CNC(=O)CN1CCC(C2=CC3=C(N=CC=C3C3=CN(C(C)C)C(=O)C=C3)N2)CC1,8
CC(C)N1C=C(C2=CC=NC3=C2C=C(C2CCN(CC4=NC=CS4)CC2)N3)C=CC1=O,7.85
CC(C)N1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(F)F)CC2)N3)C=CC1=O,6.8
CC(=O)N1CCC(C2=CC3=C(N=CC=C3C3=CN(C(C)C)C(=O)C=C3)N2)CC1,7.41
CC(C)N1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N4CCCCC4)CC2)N3)C=CC1=O,8.1
CC(C)N1C=C(C2=CC=NC3=C2C=C(C2CCN(CC(=O)N4CCCC4)CC2)N3)C=CC1=O,8.22
CC(C)N1C=C(C2=CC=NC3=C2C=C(C2CCNCC2)N3)C=CC1=O,8.52
